Code,ID,Name,FV,ISIN,Industry,Marketcap
533022,20MICRONS,20 MICRONS LTD,5,INE144J01027,Industrial Minerals,540.41
542772,360ONE,360 ONE WAM LTD,1,INE466L01038,Stockbroking & Allied,26855.49
532067,3BBLACKBIO,3B BLACKBIO DX LTD,10,INE994E01018,Healthcare Service Provider,583
532628,3IINFOLTD,3I INFOTECH LTD,10,INE748C01038,Computers - Software & Consulting,706.2
523395,3MINDIA,3M INDIA LTD,10,INE470A01017,Diversified,33372.77
516092,3PLAND,3P LAND HOLDINGS LTD,2,INE105C01023,Investment Company,59.22
540776,5PAISA,5PAISA CAPITAL LTD,10,INE618L01018,Stockbroking & Allied,1727.67
526881,63MOONS,63 MOONS TECHNOLOGIES LTD,2,INE111B01023,Computers - Software & Consulting,1842.68
540615,7NR,7NR RETAIL LTD,10,INE413X01035,Speciality Retail,161.6
540874,7SEASL,7SEAS ENTERTAINMENT LTD,10,INE454F01010,Digital Entertainment,93.13
538351,AFEL,A.F. ENTERPRISES LTD,10,INE663P01015,Trading & Distributors,9.06
539300,AKSPINTEX,A.K. SPINTEX LTD,10,INE671K01019,Other Textile Products,67.93
530499,AKCAPIT,A.K.CAPITAL SERVICES LTD,10,INE701G01012,Non Banking Financial Company (NBFC),604.56
542012,AAL,A-1 ACID LTD,10,INE911Z01017,Trading - Chemicals,412.62
533292,A2ZINFRA,A2Z INFRA ENGINEERING LIMITED,10,INE619I01012,Civil Construction,234.24
543319,AAPLUSTRAD,AA PLUS TRADELINK LTD,10,INE0C5901014,Trading & Distributors,31.82
543671,AAATECH,AAA TECHNOLOGIES LTD,10,INE0D0U01013,Consulting Services,124.16
530027,AADIIND,AADI INDUSTRIES LTD,10,INE563D01013,Petrochemicals,6.35
539096,AANANDALAK,AANANDA LAKSHMI SPINNING MILLS LTD,10,INE197R01010,Other Textile Products,7.16
542377,AARSHYAM,AAR SHYAM INDIA INVESTMENT COMPANY LTD,10,INE512R01010,Non Banking Financial Company (NBFC),2.82
524412,AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS LTD,10,INE198H01019,Pharmaceuticals,123.88
539562,AARNAV,AARNAV FASHIONS LTD,10,INE750R01016,Trading - Textile Products,123.72
542580,AARTECH,AARTECH SOLONICS LTD,10,INE01C001018,Heavy Electrical Equipment,190.25
524348,AARTIDRUGS,AARTI DRUGS LTD,10,INE767A01016,Pharmaceuticals,4636.74
524208,AARTIIND,AARTI INDUSTRIES LTD,5,INE769A01020,Specialty Chemicals,27233.12
543748,AARTIPHARM,AARTI PHARMALABS LTD,5,INE0LRU01027,Pharmaceuticals,4071.83
543210,AARTISURF,AARTI SURFACTANTS LTD,10,INE09EO01013,Specialty Chemicals,556.74
514274,AARVEEDEN,AARVEE DENIMS & EXPORTS LTD,10,INE273D01019,Other Textile Products,65.05
543346,AASHKA,AASHKA HOSPITALS LTD,10,INE0EAX01014,Hospital,177.84
511764,AASTAFIN,AASTAMANGALAM FINANCE LTD,10,INE819K01014,Non Banking Financial Company (NBFC),37.91
541988,AAVAS,AAVAS FINANCIERS LTD,10,INE216P01012,Housing Finance Company,12412.27
539528,AAYUSH,AAYUSH FOOD AND HERBS LTD,10,INE430R01015,Packaged Foods,67.17
523204,ABAN,ABAN OFFSHORE LTD,2,INE421A01028,Offshore Support Solution Drilling,366.88
